epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1294.45,0.97933,1.04445,1.57292,0.50708,0.68569,0.60115,0.35385,1.48154,1.26306,2.23562,0.0089605,0.0089605,0.0089605
44,1323.9,0.98849,1.04614,1.5767,0.63834,0.68564,0.66927,0.43915,1.25645,0.98597,2.03807,0.00893575,0.00893575,0.00893575
45,1353.58,0.97096,1.01822,1.56265,0.54748,0.56111,0.58953,0.38132,1.31433,1.32628,1.99837,0.008911,0.008911,0.008911
46,1383.02,0.97275,1.00426,1.57215,0.50097,0.59959,0.60116,0.36993,1.29475,1.1993,2.05882,0.00888625,0.00888625,0.00888625
47,1412.42,0.97067,0.99986,1.56617,0.6194,0.58997,0.69358,0.43387,1.17584,1.09914,1.8651,0.0088615,0.0088615,0.0088615
48,1441.86,0.97097,1.00417,1.54997,0.61906,0.59045,0.65999,0.42351,1.17607,1.20461,1.93136,0.00883675,0.00883675,0.00883675
49,1471.35,0.96158,0.99534,1.55338,0.52522,0.71463,0.67481,0.42335,1.28556,1.36383,2.04421,0.008812,0.008812,0.008812
50,1500.79,0.97046,0.99156,1.56614,0.61544,0.71441,0.726,0.44371,1.24671,1.1055,1.95896,0.00878725,0.00878725,0.00878725
51,1530.31,0.95691,0.97479,1.56378,0.51604,0.6513,0.63098,0.39915,1.2419,1.19097,2.12278,0.0087625,0.0087625,0.0087625
52,1559.81,0.95411,0.97842,1.55223,0.7435,0.56367,0.68614,0.44937,1.24598,1.10856,2.02788,0.00873775,0.00873775,0.00873775
53,1589.32,0.94652,0.94205,1.54387,0.57896,0.67538,0.65573,0.43045,1.28615,1.17723,1.97462,0.008713,0.008713,0.008713
54,1618.74,0.94497,0.93603,1.54637,0.43612,0.74033,0.60329,0.39454,1.20331,1.17581,1.91584,0.00868825,0.00868825,0.00868825
55,1648.17,0.94485,0.94049,1.5257,0.68428,0.59252,0.66501,0.436,1.24834,1.01119,2.01193,0.0086635,0.0086635,0.0086635
56,1677.67,0.93543,0.9128,1.52694,0.68603,0.61757,0.7206,0.46962,1.24957,1.25332,1.90098,0.00863875,0.00863875,0.00863875
57,1707.27,0.93904,0.93152,1.52991,0.62243,0.68191,0.69178,0.43369,1.34634,1.3239,2.11624,0.008614,0.008614,0.008614
58,1736.75,0.93167,0.9135,1.52583,0.54754,0.59019,0.59226,0.3776,1.41827,1.4038,2.15657,0.00858925,0.00858925,0.00858925
59,1766.18,0.9284,0.89905,1.5204,0.50705,0.66031,0.6055,0.40645,1.17238,1.10975,1.94016,0.0085645,0.0085645,0.0085645
60,1795.7,0.91666,0.88757,1.5122,0.58499,0.69215,0.7024,0.45766,1.22569,1.0264,2.00631,0.00853975,0.00853975,0.00853975
61,1825.14,0.92937,0.88536,1.52109,0.7045,0.67885,0.70608,0.45378,1.19896,1.07018,1.89166,0.008515,0.008515,0.008515
62,1854.58,0.91486,0.87472,1.50345,0.59114,0.65479,0.64621,0.41239,1.22798,1.08227,1.97793,0.00849025,0.00849025,0.00849025
63,1884.01,0.92878,0.89395,1.53416,0.54142,0.67982,0.65774,0.41002,1.25515,1.13467,2.0421,0.0084655,0.0084655,0.0084655
64,1913.5,0.92948,0.89387,1.52037,0.72891,0.52638,0.68167,0.44752,1.24937,1.03652,1.97195,0.00844075,0.00844075,0.00844075
65,1942.94,0.93343,0.86728,1.52018,0.67027,0.65942,0.72409,0.45474,1.20658,1.01173,1.86752,0.008416,0.008416,0.008416
66,1972.37,0.91325,0.86721,1.50809,0.63781,0.59846,0.63777,0.4343,1.18938,1.35565,1.93197,0.00839125,0.00839125,0.00839125
67,2001.8,0.90143,0.88116,1.50232,0.59361,0.76946,0.70917,0.46021,1.25522,1.05838,1.98738,0.0083665,0.0083665,0.0083665
68,2031.32,0.90001,0.85067,1.50254,0.67797,0.65913,0.69494,0.4615,1.15638,1.14735,1.8257,0.00834175,0.00834175,0.00834175
69,2060.78,0.90542,0.83581,1.50162,0.6386,0.68504,0.69972,0.48469,1.12135,1.01608,1.83912,0.008317,0.008317,0.008317
70,2090.92,0.89698,0.83971,1.484,0.64201,0.69542,0.69498,0.4366,1.28271,1.02334,1.96834,0.00829225,0.00829225,0.00829225
71,2120.43,0.88857,0.84191,1.48689,0.58065,0.73035,0.67639,0.44594,1.18843,1.13592,1.97704,0.0082675,0.0082675,0.0082675
72,2149.95,0.88588,0.84106,1.48707,0.67154,0.56594,0.68957,0.46688,1.10874,1.16368,1.84525,0.00824275,0.00824275,0.00824275
73,2179.45,0.89102,0.82999,1.48172,0.58643,0.61434,0.65049,0.42564,1.16336,1.11447,1.94461,0.008218,0.008218,0.008218
74,2208.9,0.89017,0.82683,1.48599,0.59795,0.71643,0.71075,0.47643,1.16219,1.19428,1.95174,0.00819325,0.00819325,0.00819325
75,2238.35,0.87914,0.78425,1.47197,0.69571,0.74075,0.74902,0.47692,1.18722,1.04028,1.95742,0.0081685,0.0081685,0.0081685
76,2267.8,0.88927,0.79259,1.47451,0.6995,0.68144,0.70906,0.46368,1.23772,1.13696,2.06713,0.00814375,0.00814375,0.00814375
77,2297.28,0.87778,0.78771,1.47355,0.63074,0.64059,0.6755,0.43764,1.21259,1.10197,1.94711,0.008119,0.008119,0.008119
78,2326.69,0.87863,0.79284,1.48289,0.76005,0.63533,0.73212,0.49322,1.21566,0.94681,2.1281,0.00809425,0.00809425,0.00809425
79,2356.44,0.87162,0.77458,1.46749,0.62665,0.71247,0.7338,0.49561,1.12782,1.12911,1.94747,0.0080695,0.0080695,0.0080695
